漢字,羅馬字,詞性/解說
沖銷,chhiong-siau,
男方,lâm-hong,
育幼院,io̍k-iù-īⁿ,
言行,giân-hêng,
走廊,cháu-lông,
車頂,chhia-téng,
車窗,chhia-thang,
車道,chhia-tō,
車燈,chhia-teng,
里民,lí-bîn,
來函,lâi-hâm,
典藏,tián-chông,
刺殺,chhì-sat,
制式,chè-sek,
受困,siū-khùn,
受理,siū-lí,
呼應,ho͘-èng,
奉勸,hōng-khǹg,
奇異,kî-ī,
孤立,ko͘-li̍p,
官兵,koaⁿ-peng,
延期,iân-kî,
怪異,koài-ī,
招考,chio-khó,
拍片,phah-phìⁿ,
拖延,thoa-iân,
放學,pàng-o̍h,
東歐,Tang-au,
果汁,kó-chiap,
林木,lîm-bo̍k,
河床,hô-chhn̂g,
波長,pho-tn̂g,
沿岸,iân-hōaⁿ,
炎熱,iām-joa̍h/iām-loa̍h,
爭奪,cheng-toa̍t,
版面,pán-bīn,
版權,pán-khoân,
直線,ti̍t-sòaⁿ,
社員,siā-oân,
社論,siā-lūn,
空大,khong-tāi,
空白,khàng-pe̍h,
空服,khong-ho̍k,
空運,khong-ūn,
股份,kó͘-hūn,
初試,chho͘-chhì,
初稿,chho͘-kó,
表格,pió-keh,
近代,kīn-tāi/kūn-tāi,
金幣,kim-pè,
長城,Tn̂g-siâⁿ,
雨鞋,hō͘-ê/hō͘-ôe,
青山,chheng-san,
南區,lâm-khu,
威嚇,ui-hek,
宣判,soan-phòaⁿ,
宣揚,soan-iông,
封建,hong-kiàn,
帝國,tè-kok,
思維,su-ûi,
拜票,pài-phiò,
按時,àn-sî,
指引,chí-ín,
指控,chí-khòng,
政戰,chèng-chiàn,
柔美,jiû-bí/liû-bí,
流傳,liû-thoân,
流會,liû-hōe,
流線,liû-sòaⁿ,
洗髮精,sé-hoat-cheng/sóe-hoat-cheng,
相符,siong-hû,
祈福,kî-hok,
約束,iok-sok,
美式,Bí-sek,
美規,Bí-kui,
英才,eng-châi,
英里,eng-lí,
訂貨,tēng-hòe/tēng-hè,
軍團,kun-thoân,
迫害,pek-hāi,
限度,hān-tō͘,
限電,hān-tiān,
首相,siú-siòng,
借款,chioh-khoán,
個體,kò-thé,
原子,goân-chú,
原有,goân-iú,
原作,goân-chok,
原著,goân-tù,
原廠,goân-chhiúⁿ,
原點,goân-tiám,
套房,thò-pâng,
家用,ka-iōng,
家扶,ka-hû,
家產,ka-sán,
家境,ka-kéng,
時速,sî-sok,
書寫,su-siá,
桌巾,toh-kin/toh-kun,
烏龍,o͘-liông,
特技,te̍k-ki,
特務,te̍k-bū,
特產,te̍k-sán,
特種,te̍k-chióng,
破碎,phò-chhùi,
純益,sûn-ek,
航行,hâng-hêng,
航班,hâng-pan,
草案,chhó-àn,
起飛,khí-poe/khí-pe,
逃難,tô-lān,
追思,tui-su,
配音,phòe-im/phè-im,
配套,phòe-thò/phè-thò,
配送,phòe-sàng/phè-sàng,
院校,īⁿ-hāu,
骨髓,kut-chhóe/kut-chhé,
高等,ko-téng,
剪綵,chián-chhái,
動用,tōng-iōng,
動脈,tōng-me̍h,
參訪,chham-hóng,
唱出,chhiùⁿ-chhut,
國土,kok-thó͘,
國有,kok-iú,
國旗,kok-kî,
國賠,kok-pôe/kok-pê,
專制,choan-chè,
專線,choan-sòaⁿ,
彩券,chhái-koàn,
情治,chêng-tī,
情誼,chêng-gî,
控告,khòng-kò,
探望,thàm-bōng,
接見,chiap-kiàn,
接送,chiap-sàng,
掃除,sàu-tû,
掛號,kòa-hō,
推算,thui-sǹg,
排行,pâi-hâng,
排練,pâi-liān,
救命,kiù-miā,
教具,kàu-kū,
條例,tiâu-lē,
淡化,tām-hòa,
清涼,chheng-liâng,
清爽,chheng-sóng,
清醒,chheng-chhéⁿ/chheng-chhíⁿ,
異鄉,ī-hiong,
祭典,chè-tián,
祭拜,chè-pài,
脫衣舞,thoat-i-bú,
莫名,bo̍k-bêng,
處長,chhù-tiúⁿ,
規章,kui-chiong,
訪談,hóng-tâm,
貨車,hòe-chhia/hè-chhia,
貨運,hòe-ūn/hè-ūn,
閉幕,pì-bō͘,
陸地,lio̍k-tē/lio̍k-tōe,
勞改,lô-kái,
圍觀,ûi-koan,
報刊,pò-khan,
報考,pò-khó,
復健,ho̍k-kiān,
惡夢,ok-bāng,
散佈,sàn-pò͘,
港都,káng-to͘,
渡過,tō͘-kòe,
減弱,kiám-jio̍k/kiám-lio̍k,
減稅,kiám-sòe/kiám-sè,
無心,bô-sim,
童話,tông-ōe,
策畫,chhek-ōe,
筆友,pit-iú,
筆記,pit-kì,
結晶,kiat-chiⁿ,
絕食,choa̍t-si̍t,
視察,sī-chhat,
評量,phêng-liông,
跑車,pháu-chhia,
週年,chiu-nî,
進修,chìn-siu,
郵資,iû-chu,
開展,khai-tián,
開除,khai-tû,
開採,khai-chhái,
開戰,khai-chiàn,
開機,khui-ki,
亂象,loān-siōng,
傷者,siong-chiá,
園地,oân-tē/oân-tōe,
圓形,îⁿ-hêng,
感念,kám-liām,
感嘆,kám-thàn,
愛國,ài-kok,
愛惜,ài-sioh,
愛護,ài-hō͘,
新生,sin-seng,
會務,hōe-bū,
毽子,kiàn-chí,
滄桑,chhong-song,
照護,chiàu-hō͘,
禁令,kìm-lēng,
罪名,chōe-miâ,
腦海,náu-hái,
解放,kái-hòng,
試車,chhì-chhia,
試飛,chhì-poe/chhì-pe,
試題,chhì-tê/chhì-tôe,
話語,ōe-gí/ōe-gú,
資政,chu-chèng,
運費,ūn-hùi,
運鈔車,ūn-chhau-chhia,
運勢,ūn-sè,
道場,tō-tiûⁿ,
逼近,pek-kīn/pek-kūn,
違建,ûi-kiàn,
鉛管,iân-kóng,
電訊,tiān-sìn,
電極,tiān-ke̍k,
頒發,pan-hoat,
僑生,kiâu-seng,
嘉惠,ka-hūi,
圖示,tô͘-sī,
對岸,tùi-hōaⁿ,
幕後,bō͘-āu,
構思,kò͘-su,
歌星,koa-chheⁿ/koa-chhiⁿ,
演化,ián-hòa,
滿漢全席,boán-hàn-choân-se̍k,
漫遊,bān-iû,
漁場,hî-tiûⁿ/hû-tiûⁿ,
精良,cheng-liông,
綠化,le̍k-hòa,
綿羊,mî-iûⁿ,
綿延,biân-iân,
翡翠,húi-chhùi,
舞男,bú-lâm,
製藥,chè-io̍h,
輕型,khin-hêng,
遙遠,iâu-oán,
銅牌,tâng-pâi,
銅像,tâng-siōng,
審理,sím-lí,
影星,iáⁿ-chheⁿ/iáⁿ-chhiⁿ,
影展,iáⁿ-tián,
憂傷,iu-siong,
樂手,ga̍k-chhiú,
樂迷,ga̍k-bê,
熱切,jia̍t-chhiat/lia̍t-chhiat,
熱戀,jia̍t-loân/lia̍t-loân,
獎助,chióng-chō͘,
篇幅,phian-hok,
練球,liān-kiû,
衛教,ōe-kàu,
論述,lūn-su̍t,
論戰,lūn-chiàn,
質料,chit-liāu,
遷入,chhian-ji̍p/chhian-li̍p,
鄰長,lîn-tiúⁿ,
養份,ióng-hūn,
駕照,kà-chiàu,
學區,ha̍k-khu,
導航,tō-hâng,
導遊,tō-iû,
憲政,hiàn-chèng,
整型,chéng-hêng,
整建,chéng-kiàn,
機票,ki-phiò,
濃縮,lông-sok,
激動,kek-tōng,
縣政,koān-chèng,
遴選,lîn-soán,
選罷法,soán-pā-hoat,
遲到,tî-tò,
遺傳,ûi-thoân,
遺體,ûi-thé,
雕塑,tiau-sok,
雕像,tiau-siōng,
靜電,chēng-tiān,
靜態,chēng-thài,
餐會,chhan-hōe,
優勝,iu-sèng,
應變,èng-piàn,
擬訂,gí-tēng,
檢疫,kiám-e̍k,
檢警,kiám-kéng,
溼地,sip-tē/sip-tōe,
營隊,iâⁿ-tūi,
總隊,chóng-tūi,
繁華,hoân-hôa,
聯手,liân-chhiú,
聯考,liân-khó,
聯隊,liân-tūi,
聯誼,liân-gî,
鍛鍊,toàn-liān,
黏膜,liâm-mo̍͘h,
點播,tiám-pò͘,
點點滴滴,tiám-tiám-tih-tih,
歸納,kui-la̍p,
禮遇,lé-gū,
簡介,kán-kài,
簡體字,kán-thé-jī/kán-thé-lī,
醫藥,i-io̍h,
鎮民,tìn-bîn,
雜草,cha̍p-chháu,
雙層,siang-chân,
雞精,ke-cheng/koe-cheng,
騎車,khiâ-chhia,
騎馬,khiâ-bé,
藝壇,gē-tôaⁿ,
藥品,io̍h-phín,
邊界,pian-kài,
競標,kēng-pio,
籌辦,tiû-pān,
籃板,nâ-pán,
議事,gī-sū,
警匪,kéng-húi,
黨旗,tóng-kî,
贓物,chong-bu̍t,
聽力,thiaⁿ-le̍k,
變革,piàn-kek,
變態,piàn-thài,
驗收,giām-siu,
體內,thé-lāi,
體型,thé-hêng,
體積,thé-chek,
體檢,thé-kiám,
讚揚,chàn-iông,
人世,jîn-sè/lîn-sè,
人群,jîn-kûn/lîn-kûn,
入伍,ji̍p-ngó͘/li̍p-ngó͘,
三軍,sam-kun,
下令,hā-lēng,
下台,hā-tâi,
下課,hā-khò,
上岸,chiūⁿ-hōaⁿ,
上將,siōng-chiòng,
上網,chiūⁿ-bāng,
亡國,bông-kok,
千辛萬苦,chhian-sin-bān-khó͘,
口號,kháu-hō,
大王,tāi-ông,
大衣,tōa-i,
大西洋,Tāi-se-iûⁿ,
大炮,tōa-phàu,
大專,tāi-choan,
大麻,tōa-môa,
大牌,tōa-pâi,
大筆,tōa-pit,
大綱,tāi-kong,
大體,tāi-thé,
山羊,soaⁿ-iûⁿ,
山莊,san-chong,
山路,soaⁿ-lō͘,
山歌,san-ko,
工資,kang-chu,
中止,tiong-chí,
中選會,Tiong-soán-hōe,
中藥,tiong-io̍h,
互助,hō͘-chō͘,
互惠,hō͘-hūi,
五星級,gō͘-chheⁿ-kip/gō͘-chhiⁿ-kip,
內戰,lāi-chiàn,
公報,kong-pò,
公演,kong-ián,
公爵,kong-chiok,
公職,kong-chit,
分化,hun-hòa,
分支,hun-chi,
分貝,hun-pòe,
分級,hun-kip,
分區,hun-khu,
分割,hun-koah,
分隊,hun-tūi,
分擔,hun-tam,
切開,chhiat-khui,
切斷,chhiat-tn̄g,
化石,hòa-chio̍h,
升等,seng-téng,
反感,hoán-kám,
反轉,hoán-choán,
天平,thian-pêng,
天災,thian-chai,
天際,thian-chè,
天價,thian-kè,
太子,thài-chú,
幻滅,hoàn-bia̍t,
引領,ín-léng,
心跳,sim-thiàu,
心境,sim-kéng,
戶政,hō͘-chèng,
戶數,hō͘-sò͘,
手排,chhiú-pâi,
手語,chhiú-gí/chhiú-gú,
手銬,chhiú-khàu,
支流,chi-liû,
文人,bûn-jîn/bûn-lîn,
文教,bûn-kàu,
方位,hong-ūi,
日夜,ji̍t-iā/li̍t-iā,
日語,Ji̍t-gí/Li̍t-gú,
月租費,goe̍h-cho͘-hùi/ge̍h-cho͘-hùi,
水利,chúi-lī,
水域,chúi-he̍k,
水費,chúi-hùi,
片商,phìⁿ-siong,
牛車,gû-chhia,
牛排,gû-pâi,
王牌,ông-pâi,
主將,chú-chiòng,
主菜,chú-chhài,
主編,chú-pian,
付款,hù-khoán,
代名詞,tāi-bêng-sû,
代步,tāi-pō͘,
代勞,tāi-lô,
代銷,tāi-siau,
出刊,chhut-khan,
出品,chhut-phín,
出風口,chhut-hong-kháu,
出海,chhut-hái,
加護,ka-hō͘,
功用,kong-iōng,
功臣,kong-sîn,
功利,kong-lī,
包涵,pau-hâm,
北二高,Pak-jī-ko/Pak-lī-ko,
北美洲,Pak-bí-chiu,
北美館,Pak-bí-koán,
半徑,pòaⁿ-kèng,
司長,su-tiúⁿ,
台長,tâi-tiúⁿ,
台詞,tâi-sû,
外移,gōa-î,
外部,gōa-pō͘,
外貌,gōa-māu,
失意,sit-ì,
奶茶,leng-tê/ni-tê,
平手,pêⁿ-chhiú/pîⁿ-chhiú,
平直,pêⁿ-ti̍t/pîⁿ-ti̍t,
本業,pún-gia̍p,
本體,pún-thé,
未知,bī-ti,
正宗,chiàⁿ-chong,
母語,bú-gí/bú-gú,
永久,éng-kiú,
永續,éng-sio̍k,
犯規,hoān-kui,
生力軍,seng-le̍k-kun,
生計,seng-kè,
申辦,sin-pān,
白金,pe̍h-kim,
交付,kau-hù,
交保,kau-pó,
交會,kau-hōe,
交響樂,kau-hióng-ga̍k,
休館,hiu-koán,
份子,hūn-chú,
光彩,kong-chhái,
全程,choân-têng,
共犯,kiōng-hoān,
再造,chài-chō,
刑期,hêng-kî,
危害,gûi-hāi,
同樂,tông-lo̍k,
名號,miâ-hō,
回報,hôe-pò/hê-pò,
地名,tē-miâ/tōe-miâ,
地雷,tē-lûi/tōe-lûi,
好用,hó-ēng,
好事,hó-sū,
字幕,jī-bō͘/lī-bō͘,
存戶,chûn-hō͘,
守衛,siú-ōe,
有志,iú-chì,
次序,chhù-sū,
死去,sí--khì,
死角,sí-kak,
羽毛,ú-mô͘,
老兵,lāu-peng,
考場,khó-tiûⁿ,
考證,khó-chèng,
耳機,hīⁿ-ki,
血跡,hoeh-jiah/huih-liah,
西南,se-lâm,
估算,kó͘-sǹg,
免疫力,bián-e̍k-le̍k,
即刻,chek-khek,
否決,hó͘ⁿ-koat,
吧台,pa-tâi,
壯大,chòng-tāi,
妙方,miāu-hng,
完備,oân-pī,
局限,kio̍k-hān,
床頭,chhn̂g-thâu,
快感,khoài-kám,
戒備,kài-pī,
抗藥性,khòng-io̍h-sèng,
折磨,chiat-bôa,
投案,tâu-àn,
更正,keng-chèng,
決標,koat-pio,
決賽,koat-sài,
秀麗,siù-lē,
系所,hē-só͘,
肝病,koaⁿ-pēⁿ/koaⁿ-pīⁿ,
良知,liông-ti,
見識,kiàn-sek,
見證,kiàn-chèng,
身段,sin-tōaⁿ,
車行,chhia-hâng,
車種,chhia-chióng,
巡航,sûn-hâng,
邦交,pang-kau,
里長,lí-tiúⁿ,
防治,hông-tī,
防空,hông-khong,
防疫,hông-e̍k,
防盜,hông-tō,
亞軍,a-kun,
刻薄,khek-po̍k,
制裁,chè-chhâi,
協理,hia̍p-lí,
卸任,sià-jīm/sià-līm,
受難,siū-lān,
周刊,chiu-khan,
奔走,phun-cháu,
定論,tēng-lūn,
屈服,khut-ho̍k,
岩石,gâm-chio̍h,
底薪,té-sin/tóe-sin,
怪罪,koài-chōe,
承包,sêng-pau,
抵制,tí-chè,
林務局,Lîm-bū-kio̍k,
武術,bú-su̍t,
法會,hoat-hōe,
油漆,iû-chhat,
沿線,iân-sòaⁿ,
盲點,bông-tiám,
社教,siā-kàu,
空位,khang-ūi,
芹菜,khîn-chhài/khûn-chhài,
花花公子,hoa-hoa-kong-chú,
初學者,chho͘-ha̍k-chiá,
表明,piáu-bêng,
金字塔,kim-jī-thah/kim-lī-thah,
長年,tn̂g-nî,
長褲,tn̂g-khò͘,
阻隔,chó͘-keh,
青天,chheng-thian,
信義,sìn-gī,
侵害,chhim-hāi,
保固,pó-kò͘,
前任,chêng-jīm/chêng-līm,
前言,chiân-giân,
前鋒,chiân-hong,
厚度,kāu-tō͘,
叛亂,poān-loān,
哀傷,ai-siong,
威權,ui-khoân,
室內,sek-lāi,
室溫,sek-un,
客房,kheh-pâng,
客源,kheh-goân,
封殺,hong-sat,
封鎖,hong-só,
建構,kiàn-kò͘,
急診,kip-chín,
怨言,oàn-giân,
政壇,chèng-tôaⁿ,
流汗,lâu-kōaⁿ,
流動性,liû-tōng-sèng,
流轉,liû-choán,
洗牌,sé-pâi/sóe-pâi,
洗禮,sé-lé/sóe-lé,
界定,kài-tēng,
界線,kài-sòaⁿ,
盆栽,phûn-chai,
研讀,gián-tho̍k,
紅豆,âng-tāu,
美洲,Bí-chiu,
美籍,Bí-che̍k,
致辭,tì-sû,
苦悶,khó͘-būn,
訂戶,tēng-hō͘,
軍用,kun-iōng,
軍備,kun-pī,
迫切,pek-chhiat,
重現,tiông-hiān,
重劃區,tiông-oe̍h-khu,
風塵,hong-tîn,
首席,siú-se̍k,
首都,siú-to͘,
冥想,bêng-sióng,
原味,goân-bī,
原動力,goân-tōng-le̍k,
原意,goân-ì,
唐詩,Tông-si,
家園,ka-hn̂g,
座談,chō-tâm,
旁觀,pông-koan,
校慶,hāu-khèng,
核定,he̍k-tēng,
氣流,khì-liû,
消防,siau-hông,
涉案,sia̍p-àn,
特約,te̍k-iok,
病毒,pēⁿ-to̍k/pīⁿ-to̍k,
病理,pēⁿ-lí/pīⁿ-lí,
病態,pēⁿ-thài/pīⁿ-thài,
病歷,pēⁿ-le̍k/pīⁿ-le̍k,
真空,chin-khong,
破滅,phò-bia̍t,
破解,phò-kái,
神話,sîn-ōe,
租金,cho͘-kim,
索引,sek-ín,
純潔,sûn-kiat,
紙盒,chóa-a̍p,
缺席,khoat-se̍k,
航站,hâng-chām,
茶包,tê-pau,
衰弱,soe-jio̍k/soe-lio̍k,
起先,khí-seng,
起步,khí-pō͘,
送交,sàng-kau,
退票,thè-phiò,
退場,thè-tiûⁿ,
追捕,tui-pó͘,
追殺,tui-sat,
追趕,tui-kóaⁿ,
酒家,chiú-ka,
配發,phòe-hoat/phè-hoat,
配對,phòe-tùi/phè-tùi,
馬桶,bé-tháng,
高壓,ko-ap,
假釋,ká-sek,
健保,kiān-pó,
偵查,cheng-cha,
副總,hù-chóng,
區長,khu-tiúⁿ,
區間,khu-kan,
參數,chham-sò͘,
問答,būn-tap,
國度,kok-tō͘,
國營,kok-êng,
基準,ki-chún,
執業,chip-gia̍p,
專才,choan-châi,
崩盤,pang-pôaⁿ,
強求,kiông-kiû,
強弱,kiông-jio̍k/kiông-lio̍k,
情緣,chêng-iân,
排放,pâi-hòng,
排班,pâi-pan,
排演,pâi-ián,
救贖,kiù-sio̍k,
教養,kàu-ióng,
教職員,kàu-chit-oân,
梵文,Hoān-bûn,
毫米,hô-bí,
毫克,hô-khek,
液體,e̍k-thé,
清洗,chheng-sé/chheng-sóe,
清掃,chheng-sàu,
淵源,ian-goân,
深沉,chhim-tîm,
球友,kiû-iú,
球技,kiû-ki,
球類,kiû-lūi,
產物,sán-bu̍t,
眾生,chiòng-seng,
被動,pī-tōng,
規費,kui-hùi,
貫穿,koàn-chhoan,
通勤,thong-khîn/thong-khûn,
通盤,thong-pôaⁿ,
連日,liân-ji̍t/liân-li̍t,
連連,liân-liân,
造船,chō-chûn,
野餐,iá-chhan,
鳥類,chiáu-lūi,
創刊,chhòng-khan,
勝地,sèng-tē/sèng-tōe,
勝算,sèng-soàn,
喜宴,hí-iàn,
喪生,sòng-seng,
單字,tan-jī/tan-lī,
報社,pò-siā,
報業,pò-gia̍p,
寒冷,hân-léng,
寒假,hân-ká,
復工,ho̍k-kang,
惡魔,ok-mô͘,
掌管,chióng-koán,
掌聲,chióng-siaⁿ,
提煉,thê-liān,
智商,tì-siong,
殖民,si̍t-bîn,
港區,káng-khu,
減產,kiám-sán,
滋潤,chu-jūn/chu-lūn,
無非,bû-hui,
無常,bû-siông,
無邊,bû-pian,
畫筆,ōe-pit,
發財,hoat-châi,
發送,hoat-sàng,
發源地,hoat-goân-tē/hoat-goân-tōe,
稅源,sòe-goân/sè-goân,
童軍,tông-kun,
筆法,pit-hoat,
結石,kiat-chio̍h,
華府,Hôa-hú,
虛構,hi-kò͘,
越戰,Oa̍t-chiàn,
超人,chhiau-jîn/chhiau-lîn,
超速,chhiau-sok,
跑道,pháu-tō,
鄉民,hiong-bîn,
開庭,khui-têng,
開票,khui-phiò,
開標,khui-pio,
開課,khui-khò,
陽春,iông-chhun,
雅房,ngá-pâng,
雄心,hiông-sim,
亂七八糟,loān-chhi-pa-chau,
傳神,thoân-sîn,
傷勢,siong-sè,
募款,bō͘-khoán,
奧妙,ò-miāu,
意念,ì-liām,
意涵,ì-hâm,
意圖,ì-tô͘,
意境,ì-kéng,
感官,kám-koan,
感傷,kám-siong,
感觸,kám-chhiok,
新型,sin-hêng,
新舊,sin-kū,
會商,hōe-siong,
業主,gia̍p-chú,
溪水,khe-chúi/khoe-chúi,
溪流,khe-lâu/khoe-lâu,
煙霧,ian-bū,
照樣,chiàu-iūⁿ,
當紅,tng-âng,
禁用,kìm-iōng,
聖戰,sèng-chiàn,
落幕,lo̍h-bō͘,
補強,pó͘-kiông,
裝甲,chong-kah,
解嚴,kái-giâm,
解讀,kái-tho̍k,
試用,chhì-iōng,
詩意,si-ì,
資歷,chu-le̍k,
遊民,iû-bîn,
遊覽,iû-lám,
違憲,ûi-hiàn,
雷達,lûi-ta̍t,
電聯車,tiān-liân-chhia,
預約,ī-iok/ū-iok,
預訂,ī-tēng/ū-tēng,
預留,ī-liû/ū-liû,
預產期,ī-sán-kî/ū-sán-kî,
預設,ī-siat/ū-siat,
預警,ī-kéng/ū-kéng,
團長,thoân-tiúⁿ,
境地,kéng-tē/kéng-tōe,
壽險,siū-hiám,
實例,si̍t-lē,
對談,tùi-tâm,
弊端,pè-toan,
截止,chia̍t-chí,
撤銷,thiat-siau,
榮譽,êng-ū,
漁會,hî-hōe/hû-hōe,
滷味,ló͘-bī,
監聽,kàm-thiaⁿ,
管線,kóng-sòaⁿ,
精裝,cheng-chong,
舞步,bú-pō͘,
舞團,bú-thoân,
趕往,kóaⁿ-óng,
輕柔,khin-jiû/khin-liû,
輕傷,khin-siong,
遙控,iâu-khòng,
銀器,gîn-khì/gûn-khì,
銅管,tâng-kóng,
增資,cheng-chu,
審定,sím-tēng,
審議,sím-gī,
廢棄,hùi-khì,
廢標,hùi-pio,
影集,iáⁿ-chi̍p,
徵文,teng-bûn,
慶典,khèng-tián,
撥付,poah-hù,
敵意,te̍k-ì,
暴亂,pō-loān,
標點,piau-tiám,
歐式,Au-sek,
歐盟,Au-bêng,
熱誠,jia̍t-sêng/lia̍t-sêng,
編舞,pian-bú,
編劇,pian-kio̍k,
線材,sòaⁿ-châi,
罷免,pā-bián,
請願,chhéng-goān,
課堂,khò-tn̂g,
課業,khò-gia̍p,
論點,lūn-tiám,
踏入,ta̍p-ji̍p/ta̍h-li̍p,
輪椅,lûn-í,
養成,ióng-sêng,
奮戰,hùn-chiàn,
學長,ha̍k-tiúⁿ,
學說,ha̍k-soat,
戰況,chiàn-hóng,
戰區,chiàn-khu,
操盤,chhau-pôaⁿ,
整數,chéng-sò͘,
樹葉,chhiū-hio̍h,
機電,ki-tiān,
歷來,le̍k-lâi,
歷練,le̍k-liān,
燈罩,teng-tà,
積分,chek-hun,
積水,chek-chúi,
辨別,piān-pia̍t,
辦事,pān-sū,
選定,soán-tēng,
錯失,chhò-sit,
錯覺,chhò-kak,
館長,koán-tiúⁿ,
壓制,ap-chè,
溼度,sip-tō͘,
療法,liâu-hoat,
縮影,sok-iáⁿ,
總督,chóng-tok,
總價,chóng-kè,
總體,chóng-thé,
聲浪,siaⁿ-lōng,
聯邦,liân-pang,
聯招會,Liân-chiau-hōe,
聯席會,liân-se̍k-hōe,
講解,káng-kái,
避難,pī-lān,
鮮花,chhiⁿ-hoe,
殯儀館,pin-gî-koán,
禮盒,lé-a̍p,
簡便,kán-piān,
簡章,kán-chiong,
豐年祭,hong-nî-chè,
轉送,choán-sàng,
轉運站,choán-ūn-chām,
雙打,siang-táⁿ,
雙向,siang-hiòng,
雙門,siang-mn̂g,
證交所,Chèng-kau-só͘,
關愛,koan-ài,
難題,lân-tê/lân-tôe,
警力,kéng-le̍k,
警官,kéng-koaⁿ,
警長,kéng-tiúⁿ,
警衛,kéng-ōe,
黨職,tóng-chit,
轟炸,hong-chà,
霹靂,phek-le̍k,
顧慮,kò͘-lī/kò͘-lū,
權勢,khoân-sè,
聽友,thiaⁿ-iú,
聽見,thiaⁿ--kìⁿ,
聽話,thiaⁿ-ōe,
戀情,loân-chêng,
罐裝,koàn-chng,
靈骨塔,lêng-kut-thah,
靈敏,lêng-bín,
鷹架,eng-kè,
一大堆,chi̍t-tōa-tui,
一心一意,it-sim-it-ì,
一夜情,chi̍t-iā-chêng,
一體,it-thé,
了結,liáu-kiat,
二手貨,jī-chhiú-hòe/lī-chhiú-hè,
二氧化碳,jī-ióng-hòa-thòaⁿ,
人事局,Jîn-sū-kio̍k/Lîn-sū-kio̍k,
人和,jîn-hô/lîn-hô,
人道,jîn-tō/lîn-tō,
入會,ji̍p-hōe/li̍p-hōe,
入境,ji̍p-kéng/li̍p-kéng,
三國,Sam-kok,
三溫暖,sam-un-loán,
下垂,hā-sûi,
千古,chhian-kó͘,
口才,kháu-châi,
士官,sū-koaⁿ,
大戶,tōa-hō͘,
大略,tāi-lio̍k,
大寫,tōa-siá,
大賣場,tōa-bē-tiûⁿ/tōa-bōe-tiûⁿ,
女王,lú-ông,
小便,siáu-piān,
小島,sió-tó,
山坡,soaⁿ-pho,
山脈,soaⁿ-me̍h,
工研院,Kang-gián-īⁿ,
工商界,kang-siong-kài,
工期,kang-kî,
才藝,châi-gē,
中西,tiong-se,
中南美,Tiong-lâm-bí,
中南海,Tiong-lâm-hái,
中美,Tiong-bí,
中原,tiong-goân,
互信,hō͘-sìn,
互補,hō͘-pó͘,
五官,ngó͘-koan,
元老,goân-ló,
內分泌,lāi-hun-pì,
內勤,lāi-khîn/lāi-khûn,
內褲,lāi-khò͘,
六輕,La̍k-khin,
公子,kong-chú,
公立,kong-li̍p,
公有,kong-iú,
公私,kong-su,
公約,kong-iok,
公厘,kong-lî,
公然,kong-jiân/kong-liân,
公轉,kong-choán,
分歧,hun-kî,
分校,hun-hāu,
分組,hun-cho͘,
化工,hòa-kang,
反攻,hoán-kong,
反問,hoán-mn̄g,
天王,thian-ông,
天涯,thian-gâi,
天賦,thian-hù,
引入,ín-ji̍p/ín-li̍p,
心目中,sim-bo̍k-tiong,
心胸,sim-heng,
手心,chhiú-sim,
手套,chhiú-thò,
手錶,chhiú-pió,
文法,bûn-hoat,
文壇,bûn-tôaⁿ,
日商,Ji̍t-siong/Li̍t-siong,
比數,pí-sò͘,
毛筆,mô͘-pit,
水床,chúi-chhn̂g,
水鳥,chúi-chiáu,
水量,chúi-liōng,
水溫,chúi-un,
水壓,chúi-ap,
火光,hóe-kng/hé-kng,
火警,hóe-kéng/hé-kéng,
片廠,phìⁿ-chhiúⁿ,
牛油,gû-iû,
世上,sè-siōng,
世家,sè-ka,
主食,chú-si̍t,
主播,chú-pò͘,
充電,chhiong-tiān,
出庭,chhut-têng,
出境,chhut-kéng,
刊載,khan-chài,
加分,ka-hun,
功率,kong-lu̍t,
北半球,Pak-pòaⁿ-kiû,
北歐,Pak-au,
占有率,chiàm-iú-lu̍t,
占領,chiàm-niá,
可貴,khó-kùi,
古今,kó͘-kim,
古物,kó͘-bu̍t,
史料,sú-liāu,
臺胞,Tâi-pau,
臺鐵,Tâi-thih,
句點,kù-tiám,
四輪,sì-lián,
囚犯,siû-hoān,
外包,gōa-pau,
外海,gōa-hái,
外野,gōa-iá,
外傷,gōa-siong,
外籍,gōa-che̍k,
失真,sit-chin,
失落,sit-lo̍h,
奴隸,lô͘-lē,
孕育,īn-io̍k,
平反,pêng-hoán,
本文,pún-bûn,
本金,pún-kim,
本票,pún-phiò,
本壘,pún-lúi,
民怨,bîn-oàn,
犯案,hoān-àn,
玉山,Gio̍k-san,
生化,seng-hòa,
用法,iōng-hoat,
交貨,kau-hòe/kau-hè,
交戰,kau-chiàn,
任內,jīm-lāi/līm-lāi,
光臨,kong-lîm,
兇惡,hiong-ok,
全文,choân-bûn,
全能,choân-lêng,
共和,kiōng-hô,
冰涼,peng-liâng,
列席,lia̍t-se̍k,
同性,tông-sèng,
各國,kok-kok,
名次,miâ-chhù,
名條,miâ-tiâu,
名譽,bêng-ū,
合資,ha̍p-chu,
因緣,in-iân,
回教,Hôe-kàu/Hê-kàu,
地層,tē-chân/tōe-chân,
地標,tē-piau/tōe-piau,
好感,hó-kám,
如來,Jû-lâi/Lû-lâi,
字型,jī-hêng/lī-hêng,
