編號,語法點,例句
034-01,| 捌……（過） | ba...(kòe) | 表示曾發生過。否定用「毋捌……（過）」。若加「過」又不接賓語時「過」讀輕讀。 |,"['你敢捌聽人講？', '阿雄毋捌作穡過，', '夯到三十八度呢！從來毋捌遮爾懸。', '伊從來毋捌直接回答我，', '會記得阮老師捌講過一个真實的故事，', '我毋捌看過阮媽媽，']"
034-02,| （有）……過 | (ū)...kòe | 表示曾發生過。不接賓語時讀輕讀。否定用「無……過」。 |,"['頭前有講過：', '攏有學過一寡仔。', '這種代誌我無經驗過。', '我教過的囡仔攏足愛我的台語課。', '我自頭到尾至少有斟酌共讀過兩擺，']"
035-01,| 敢……？ | kám...? | 答案只有是或否的疑問詞。 |,"['這馬敢是秋天？', '嘛早就成做異鄉矣，敢毋是？', '目前的資訊敢有夠？', '敢按呢？', '毋知你敢有食過米芳？', '干焦買一項，敢袂傷少？']"
036-01,| ……無？ | ...--bô? | 答案只有是或否的疑問詞，置於句尾，輕讀。 |,"['有人欲參加台語演講比賽無？', '繼續拍拚活咧，看會有奇蹟出現無？', '三百箍予我，好無？', '請問，張先生有佇咧無？', '猶愛啥物無？', '袂使閣按呢你知無？', '你講著無？']"
037-01,| ……未？ | ...bōe? | 詢問是否已經發生的疑問詞。 |,"['喝講：「來未？來未？」', '阿花你佇內底創啥？你好矣未？', '恁查某囝食頭路未？(盧典)', '「你退休未？」', '遐爾少年！結婚未？']"
038-01,| 會（曉/使/當/用得……）……袂？ | ē(-hiáu/-sái/-tàng/-ēng-tit...)...--bē? | 1.對能力、實現或可能發生與否的疑問句型。 2.當用於對狀態的疑問，發問者期待得到否定的答案。 |,"['歹勢，我隨寫，會真無閒袂？', '你會曉講台灣話袂？', '1.用行的兩點外鐘久毋知會到袂？', '2.手續會足麻煩袂？', '柑仔會酸袂？', '會使簽名袂？']"
038-02,| 有……無？ | ū...--bô? | 1.確認狀態與事實的疑問句型。 2.當用於對狀態的疑問，發問者期待得到肯定的答案。 |,"['請問王正光，......', '菜有鹹無？', '請問王正光，王先生有佇咧無？', '勞力你。恁遮有代收電火錢無？', '2.按呢毋知有gió-toh無？', '欲。你想五斤有夠無？', '注意看心跳有順、有規律無？', '1.你有印仔無？']"
039-01,| [動詞]+會/袂+[補語] | [tông-sū]+ē/bē+[pó͘-gí] | 表示能夠/無法實現。 |,"['𪜶所趁的月給佇臺北敢𨑨迌會起？', '旋佇樹絡的豆莢濟甲食袂去，', '伊枵甲跤痠手軟行袂振動，', '親像長流水按呢滴袂煞，', '你的生理免驚曷做會落去。', '日時有代誌通無閒，暗時毋才睏會去。']"
040-01,| ……毋？1 | ...m̄?(1) | 正反問句疑問詞，「毋」讀輕聲。常與「……無？」混用。 |,"['你講按呢是毋？', '你敢若是頂日仔新來的，是毋？', '你緊來𤆬我去恁兜蹛，好毋？', '是按怎是毋？彼敢咱兜的鐵門聲？', '是按怎是毋？......']"
041-01,| --咧？ | --leh? | 置於句尾表示疑問。 |,"['你彼隻烏貓咧？', '咱欲按怎做咧？', '我欲食炒飯，你咧？', '敢毋是真利便咧？', '欲哪有可能送予別人咧？']"
042-01,| 啥(物) | siáⁿ(-mih) | 疑問詞或疑問代詞，表示「什麼」。 |,"['啥！啥！你問阮欲食冰無？', '啥物消息攏毋知。', '阿爸，今欲準備啥物？', '伊的英語名是啥物？', '啥物？台灣厚地動，可能會危險？', '𪜶所賣的毋是啥物人生道理，']"
043-01,"| 啥人 | siáⁿ-lâng | 誰、什麼人，常合音讀為siáng, siâng，另有chiâ的形式。 |","['「歹瓜厚子」，chiâ講的！', '是啥人遮爾好運？', '是siáng阻止台灣少年家轉大人？', '恁臆這句話是siáng講的。', '有啥人會知？', '成chiâ？這是我上欲知影的：成二兄，']"
044-01,| 按怎…… | án-chóaⁿ... | 詢問處置的疑問詞，即「怎麼、如何」。 |,"['因為阿爸毋知按怎駛的，煞駛甲毋知路去。', '毋管閣按怎驚惶嘛是會當一睏到天光。', '毋知伊是按怎變的，哪會遮厲害！', '魚佮肉欲按怎揀？', '閣教我愛按怎加油，按怎弄予振動，']"
044-02,| 按怎？ | án-chóaⁿ? | 詢問狀況的疑問詞或疑問代詞，即「怎麼樣」。 |,"['結果按怎？欲知傷慢矣，', '這遍風颱恁遮按怎？', '恁某是按怎？', '今，你考了按怎？', '恁公司待遇按怎？']"
045-01,| 是按怎 | sī-án-chóaⁿ? | 詢問原因、理由的疑問詞，即「為什麼」。 |,"['問你是按怎欲伨伊，', '是按怎會行到這款地步？', '是按怎伊無學著？', '是按怎少年人和這基本人權都無？', '是按怎有車毋開，']"
046-01,| 欲按怎 | beh-án-chóaⁿ | 詢問如何處理，即「怎麼辦」。 |,"['若有人跳出來叫我娶𪜶死去的阿姊，我欲按怎？', '車駛甲無油矣欲按怎？', '行到這个地步矣，袂使嘛愛行！無，欲按怎？', '田裡遐的粟仔佮番薯欲按怎？', '行到這个地步......']"
047-01,| 敢講……？ | kám-kóng...? | 加強反問語氣，即「難道」。 |,"['造成海洋生態劫數，敢講，咱逐家毋免好好考慮？', '敢講你早就知影你時日無濟，欲享盡你的食福？', '為啥物近來三不五時就提物件共伊掔，敢講伊有佇啥所在去得失著彼个囡仔？', '遮的相關法令，敢講攏有歧視的意涵？']"
048-01,| 偌+[形容詞] | gōa+[hêng-iông-sû] | 表示不特定數量或程度的疑問代詞。 |,"['是講，有偌濟民眾來致意？', '啊，頭前毋知閣窒偌長？', '有偌濟氣力做偌濟代誌，', '你洗面愛閣洗偌久？', '今我是咧偌老？']"
